archive_id,filepath,width,height,aspect_ratio,exif_orientation,face_hint_degrees,status
queerhana-dscn0705,wetransfer-024eb0(1)/DSCN0705.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0714,wetransfer-024eb0(1)/DSCN0714.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0716,wetransfer-024eb0(1)/DSCN0716.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0717,wetransfer-024eb0(1)/DSCN0717.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0719,wetransfer-024eb0(1)/DSCN0719.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0720,wetransfer-024eb0(1)/DSCN0720.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0723,wetransfer-024eb0(1)/DSCN0723.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0724,wetransfer-024eb0(1)/DSCN0724.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0725,wetransfer-024eb0(1)/DSCN0725.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0726,wetransfer-024eb0(1)/DSCN0726.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0729,wetransfer-024eb0(1)/DSCN0729.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0731,wetransfer-024eb0(1)/DSCN0731.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0735,wetransfer-024eb0(1)/DSCN0735.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0736,wetransfer-024eb0(1)/DSCN0736.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0737,wetransfer-024eb0(1)/DSCN0737.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0738,wetransfer-024eb0(1)/DSCN0738.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0739,wetransfer-024eb0(1)/DSCN0739.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0741,wetransfer-024eb0(1)/DSCN0741.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0744,wetransfer-024eb0(1)/DSCN0744.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0745,wetransfer-024eb0(1)/DSCN0745.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0746,wetransfer-024eb0(1)/DSCN0746.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0748,wetransfer-024eb0(1)/DSCN0748.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0750,wetransfer-024eb0(1)/DSCN0750.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0756,wetransfer-024eb0(1)/DSCN0756.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0757,wetransfer-024eb0(1)/DSCN0757.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0758,wetransfer-024eb0(1)/DSCN0758.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0759,wetransfer-024eb0(1)/DSCN0759.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0761,wetransfer-024eb0(1)/DSCN0761.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0762,wetransfer-024eb0(1)/DSCN0762.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0765,wetransfer-024eb0(1)/DSCN0765.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0766,wetransfer-024eb0(1)/DSCN0766.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0767,wetransfer-024eb0(1)/DSCN0767.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0771,wetransfer-024eb0(1)/DSCN0771.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0774,wetransfer-024eb0(1)/DSCN0774.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0776,wetransfer-024eb0(1)/DSCN0776.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0777,wetransfer-024eb0(1)/DSCN0777.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0778,wetransfer-024eb0(1)/DSCN0778.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0779,wetransfer-024eb0(1)/DSCN0779.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0780,wetransfer-024eb0(1)/DSCN0780.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0781,wetransfer-024eb0(1)/DSCN0781.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0782,wetransfer-024eb0(1)/DSCN0782.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0787,wetransfer-024eb0(1)/DSCN0787.JPG,2560,1920,1.333,1,,already normal
queerhana-dscn0792,wetransfer-024eb0(1)/DSCN0792.JPG,1600,1200,1.333,1,,already normal
queerhana-dscn0793,wetransfer-024eb0(1)/DSCN0793.JPG,1600,1200,1.333,1,,already normal
queerhana-dscn0795,wetransfer-024eb0(1)/DSCN0795.JPG,1600,1200,1.333,1,,already normal
queerhana-dscn0796,wetransfer-024eb0(1)/DSCN0796.JPG,1600,1200,1.333,1,,already normal
queerhana-dscn0802a,wetransfer-024eb0(1)/DSCN0802a.jpg,1600,1200,1.333,1,,already normal
queerhana-dscn0810,wetransfer-024eb0(1)/DSCN0810.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0811,wetransfer-024eb0(1)/DSCN0811.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0815,wetransfer-024eb0(1)/DSCN0815.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0816,wetransfer-024eb0(1)/DSCN0816.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0819,wetransfer-024eb0(1)/DSCN0819.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0823,wetransfer-024eb0(1)/DSCN0823.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0831,wetransfer-024eb0(1)/DSCN0831.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0832,wetransfer-024eb0(1)/DSCN0832.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0838a,wetransfer-024eb0(1)/DSCN0838a.jpg,1920,2560,0.75,1,,already normal
queerhana-dscn0852,wetransfer-024eb0(1)/DSCN0852.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0859,wetransfer-024eb0(1)/DSCN0859.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0861,wetransfer-024eb0(1)/DSCN0861.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0862,wetransfer-024eb0(1)/DSCN0862.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0863,wetransfer-024eb0(1)/DSCN0863.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0864,wetransfer-024eb0(1)/DSCN0864.JPG,1280,960,1.333,1,,already normal
queerhana-dscn6163,wetransfer-024eb0(1)/DSCN6163.JPG,2560,1920,1.333,1,,already normal
queerhana-dsc-3149a,wetransfer-024eb0(1)/DSC_3149a.jpg,2820,1908,1.478,1,,already normal
queerhana-dsc-3152,wetransfer-024eb0(1)/DSC_3152.JPG,3008,2000,1.504,1,,already normal
queerhana-dscn0804,wetransfer-024eb0(1)/DSCN0804.JPG,1600,1200,1.333,1,,already normal
queerhana-dscn0805,wetransfer-024eb0(1)/DSCN0805.JPG,1600,1200,1.333,1,,already normal
queerhana-dscn0813,wetransfer-024eb0(1)/DSCN0813.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0817,wetransfer-024eb0(1)/DSCN0817.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0821,wetransfer-024eb0(1)/DSCN0821.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0822,wetransfer-024eb0(1)/DSCN0822.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0825,wetransfer-024eb0(1)/DSCN0825.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0826a,wetransfer-024eb0(1)/DSCN0826a.jpg,1280,960,1.333,1,,already normal
queerhana-dscn0830,wetransfer-024eb0(1)/DSCN0830.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0842,wetransfer-024eb0(1)/DSCN0842.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0846,wetransfer-024eb0(1)/DSCN0846.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0847,wetransfer-024eb0(1)/DSCN0847.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0848,wetransfer-024eb0(1)/DSCN0848.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0849a,wetransfer-024eb0(1)/DSCN0849a.jpg,1280,960,1.333,1,,already normal
queerhana-dscn0850,wetransfer-024eb0(1)/DSCN0850.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0860,wetransfer-024eb0(1)/DSCN0860.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0868,wetransfer-024eb0(1)/DSCN0868.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0870,wetransfer-024eb0(1)/DSCN0870.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0872,wetransfer-024eb0(1)/DSCN0872.JPG,1280,960,1.333,1,,already normal
queerhana-dscf2290,wetransfer-024eb0(1)/Dscf2290.jpg,1280,960,1.333,1,,already normal
queerhana-dscf2294,wetransfer-024eb0(1)/Dscf2294.jpg,1280,960,1.333,1,,already normal
queerhana-dscf3603,wetransfer-024eb0(1)/DSCF3603.JPG,2048,1536,1.333,1,,already normal
queerhana-dscf3604,wetransfer-024eb0(1)/DSCF3604.JPG,2048,1536,1.333,1,,already normal
queerhana-dscf4175,wetransfer-024eb0(1)/DSCF4175.JPG,2048,1536,1.333,1,,already normal
queerhana-dscf4179,wetransfer-024eb0(1)/DSCF4179.JPG,2048,1536,1.333,1,,already normal
queerhana-dscf4180,wetransfer-024eb0(1)/DSCF4180.JPG,2048,1536,1.333,1,,already normal
queerhana-dscf4184,wetransfer-024eb0(1)/DSCF4184.JPG,2048,1536,1.333,1,,already normal
queerhana-dscf2293,wetransfer-024eb0(1)/Dscf2293.jpg,1280,960,1.333,1,,already normal
queerhana-dscf2295,wetransfer-024eb0(1)/Dscf2295.jpg,1280,960,1.333,1,,already normal
